@relation TestTweets

@attribute calculatedScore {-1.0,1.0}
@attribute tweetText string

@data
1.0,'Photo: (via fuckyeahkristinchenoweth) omgomgomgomg MAY 19TH http://tumblr.com/x7269s2mn'
-1.0,'Heres a new idea,how about i get you a spoon so you can read my ass.'
1.0,'RT @FriendsTVFan: #RetweetTHisIf you want #FriendsTheMovie via @Lisa_Kudrow'
-1.0,'Andy is rambling on C&C this morning - shutup and get on with it man'
-1.0,'@tigerlilybubu lol, where are you? I once forgot the car completely and left home without it.'
-1.0,'@LSal92 and yet they are a minority ... despite the election law being changed to skew things in Aoun\'s favor, they remain a minority'
1.0,'The Newest Member of _________________! #yehbuddy'
1.0,'@SeaNanners Hey Adam, JPizzle1122 (the microwave dude on utube) seems to have a good live stream for MW2, maybe ask for his help?'
1.0,'Little Caesars Large Cheese or Pepperoni - No Limit - 2/10 for $3.99:'
-1.0,'oh my goodness I\'m emo'
-1.0,'@Din_Jee wait wait wait...im confused...are you there?'
1.0,'RT @Arranwhisky: New #Arran #Malt #Competition just posted on: www.arranwhisky.com/Default.aspx?page=Competition Free bottle and chocolates'
-1.0,'emm, my lip is starting to hurt :/'
-1.0,'Finally off work. Gonna go home and try to sleep whatever this is off so I can go to my other job. I hate to miss work'
-1.0,'#TED travel off to rocky start thanks to wayward wallet. JUST made my flight, but horridly tense.'
1.0,'RT 50+ Awesome Twitter Tips to become a Pro http://ow.ly/14LjW via @virtuosoblogger'
1.0,'@JBieberboyyy i was thinking that i wanna make a Cake party in my house :O! lol'
1.0,'http://www.youtube.com/watch?v=0TpGvMh6Uow&feature=player_embedded Check it out! In the middle of London! SO COOL!'
1.0,'Mountains, trees, and beautiful cotton-ish blue sky! I will fly! :)'
1.0,'@justinbieber follow me? please...(: your great and it would make my day. btw, i wanna shampoo your hair ;D lmao. 3'
1.0,'@DarrylTalley @J9Talley hi there! Nice to see you back!'
1.0,'RT @katyperry: I ? New York!'
1.0,'@Aviemoron My coffin has already been reshaped as it\'s going with me!!!'
1.0,'I went to hot power yoga and I loved it. MUCH better than Bikram to me. Power Good. Hot Good. Sweat Good. What\'s not to love? #stinky'
-1.0,'@nicko236 Lol, well I considered posting something normal, but since when have I been normal.'
-1.0,'It saddens my heart 2 C women with black eyes! :('
-1.0,'I cant feel my feet.. that cant be good..'
1.0,'@officialerika i hope so dude hahaha <3. So, which subject do you have right now? xx'
-1.0,'He\'s been ranting about this for years RT @eugenelee finally blogged \"Business is Conducted by People, not Users\" http://bit.ly/9Dt24j'
1.0,'RT @Local76_493: Happy Birthday to Carole King b.1942, Carmen Miranda 1909,'
1.0,'going to get jubby\'s valentines day gift with some assistance from lee and shane:) finally got my car registered:) work monday-friday 12-4 ?'
-1.0,'About to spend the next couple of hours of my life working for the man'
-1.0,'RT @BRADPIFF877: I should of threw my self on the floor and screamed (bro u would be gettin a fat check if u had done dat)'
1.0,'need to find a red all lace see thru dress (like my black one)for my friend brian goins red && black birthday party this weekend;;His GIFT!'
1.0,'@jimalkhalili Well deserved. Seems emblematic of a new BBC confidence unashamedly to produce docs that are pitched at more advanced level.'
-1.0,'@Nyamorabu yea, that\'s y I\'m not supposed to use it, they wanna attribute all the results to the mouthwash, without chewing gum to help it.'
-1.0,'@Jesse_Son How DARE YOU I am now* your darklordwaffle PIMP now hoe work that corner *pimp slaps*'
1.0,'Learning about water heaters - ah the joys of home ownership - and still being single : )'
1.0,'2 cans of full fat coke and im bouncing round the place.'
-1.0,'PORN!?! Shit WONT be E Z my G! Trust me i TRIED! RT @overtheFame I think I know what I am giving up for Lent...it won\'... http://3.ly/3uC'
1.0,'i\'m so super duper excitied right now cuz\' i\'m gonna watch Harry Potter !'
1.0,'@planetjedward hey! going to see you in dundrum on friday:) i was talking to ur mam(my teacher) today:) NO SCHOL because im going to you:)x'
1.0,'RT @kgarrard: \"I lift my eyes up to You, to You whose throne is in heaven.\" Ps. 123:1... <3 // Love it. And the maker of heaven & earth :)'
1.0,'How to Succeed in the Age of Going Solo? A great article for everyone to read in the WSJ. http://tinyurl.com/yzma3sn'
1.0,'@bfrench4 what disneyworld commercial? he\'s the saints qb and is sooo cute :)'
-1.0,'Las year I was so stressed out I forgot I was my birthday. Didn\'t figure it out til 730 that night. My bad.'
1.0,'@reevesforreal Devote yourself to prayer, being watchful and thankful. Very good verse & a great way 2 start a day! Have a fun day in PC!'
-1.0,'Just back from a walk with the doggies. Got caught in a hail storm - hailstones really sting when they\'re lashing down on your face!'
1.0,'to better understand me lol -> RT @whysogreen i\'m going back to school@ doing a free 5 week automotive course! :)'
1.0,'@yourcitylights And Simon Peter answered and said, Thou art the Christ, the Son of the living God. Matthew 16:16 Jesus Loves you'
-1.0,'Bored with waiting for the iPad to come out so I\'ve made my own out of a journos pad and some spray mount http://yfrog.com/3lg87aj'
-1.0,'So I have come to the conclusions that there\'s bitches who dnt like me on here bt follow wtf I gotta say!'
1.0,'Rock onRT @inrockmusic: BillZucker: I LOVE @DaveMalby @D_Old_Man @GlassRiverJewel @susancha @burkepreston (cont) http://tl.gd/7sh8m'
1.0,'RT @diskopo Who wants to laugh? http://bit.ly/aBMOmR'
-1.0,'my clothes smell like weed, vomit and chicken. and i didnt smoke. nor vomit. and most unfortunately didn\'t eat chicken. nice -_-'
-1.0,'It took 2 hours rummaging through my receipt drawer only to learn I?d lost the receipt, isn?t there a better way? http://ow.ly/14Xm2'
-1.0,'@debontherocks Conferences have NEVER made me wish to have a child. EVER. What are you drinking @ said cons??'
1.0,'I favorited a YouTube video -- Zooey Deschanel in Weeds http://youtu.be/FApZlnX_G1U?a'
-1.0,'@armaghetto ugh... if i have too much of the gogo juice i get a bad stomach ache'
-1.0,'Urgh i\'m soo bored and tired. text. call, anything. hmm i must find things to multi task on now!'
1.0,'Guayadeque - Nice music player | Ubuntu Geek: Music Player with the aims to be intuitive, easy to use and fast eve... http://bit.ly/9NLi0v'
1.0,'@Munchkin75 wahooooo! The ho-ness has been a bit too thin on the ground today! x'
-1.0,'Headed to human resources class. Now I know why Michael hates Toby so much.'
1.0,'I love P2P but was worried about ISPs keeping my logs. With YourPrivateVPN I don\'t have to worry anymore. http://bit.ly/aemTcO'
1.0,'Bab Girls Club was FunnY ass ShyT can\'t wait Til the reuion shw'
1.0,'RT @fallout: Don\'t forget to watch the #FalloutNewVegas teaser & RT for a chance to win a signed FNV poster http://bit.ly/fnvcon Must be 18+'
-1.0,'my moms a retard for reading my texts and thinking my most recent tweet was inapproprate'
-1.0,'RT @BoomerLivingNow: Retirement: Don\'t Run Out of Money Before You Run Out of Time http://ow.ly/15RgI #finances #boomer #retirement'
-1.0,'So I missed #BGC again this wk...can some tell me wht happened'
-1.0,'Everyone says to give up on you, but they don\'t see you like I do.'
-1.0,'@zanniewee yep, sumtimes beatings or spankings ultimately lead the child 2 b more rebellious...not me tho, my momz hitz were effective lol.'
-1.0,'After these shows I\'m callin it a early nite, been up early and already gettin sleepy!!'
1.0,'@pacificbrewnews No beer for me today either. But I am enjoying the 2008 Odonata Grenache.'
1.0,'Free: Star Bucks Gift Card http://listia.com/1p8s'
1.0,'RT @Kelsey_Grammer: So GOOGLE BUZZ is a hot topic Look at the OFFICAL GOOGLE [Video] - http://clicky.me/OfficialMI4 and you will LOVE it GO GOOGLE'
1.0,'@itsonlymichelle guess whats driving on the way to my house =)'
1.0,'and Verizon to reduce the fees they charge for their airtime, and now if they\'re successful w/their high speed effort, they\'ll create the'
1.0,'@ClassCie I got one more song to finish :) then I will send it'
-1.0,'RT Sorry i\'ve been quiet on the tweetside, i\'m just really into @Viewpointr right now (http://viewpointr.com) << its addictive.'
-1.0,'just watched 10 minutes of house of payne cause I didnt want to get up and look for the remote.'
1.0,'Having English class now, we\'re doing profiles to ning.com, not so different from my freetime :D'
1.0,'@shreyaghoshal hey thats a good news. what is the name of that film.'
-1.0,'I just fell asleep, at the most, three and a half hours ago. Why the bitch am I awake?'
1.0,'Thanks again to Ken for this RT @@KenPlume Now on FRED: @The_No_Show interview w/ James Cameron, Emperor of Everything... http://is.gd/83OtB'
1.0,'RT @beedle82: I just entered the competition to win a Samsung laptop. To enter, follow @smartaHQ & RT http://bit.ly/b4I200'
1.0,'RT @matisyahu: Cool photo spread and interview in Wanted Magazine. Photos http://bit.ly/d5YFxH Interview http://bit.ly/bHAfUI'
1.0,'Today in History: 1971 Satchel Paige becomes 1st negro-league player elected to Baseball Hall of Fame. (via @TouchByAM) (via @Alyssa_Milano)'
-1.0,'RT @stillgtit: If you can\'t lick or stick then I must tell you #itaintthatgoodman so introduce me to your best friend<'
-1.0,'@Momodel180 pssshh yal bugging I never shovel snow a day in my life!!! Lol'
1.0,'Today has been INSANE(ly good). So excited for my colleagues who have done so much great work deserving of natl recognition. #NPLAN #PHLP'
-1.0,'@WCooksey I\'m shocked, nay appalled, to hear that you are regularly communicating with your constituents. And caught on tape! ^'
1.0,'@PHXPhoto thanks, we hope you enjoy it and welcome your input on what you\'d like to see!'
1.0,'Whether you like me or not i would like to take this time out of my day and let yall know i love yall'
1.0,'@MsChassMarie lol tell him i got a bottle of graduates banana flava waitin for him lmao'
1.0,'\"Society may tolerate you, acquaintances may accept you, but friends understand you.\" #quote'
1.0,'It appears that you have everything under control and your pos... More for Leo http://twittascope.com/twittascope/?sign=5'
1.0,'@ElijahRead Oh okay..So thats how you do?..LOL..Copy and Paste like that...LOL'
1.0,'Home after Lucia\'s and Key skills this morning; had to attend due to a guest speaker talking about Uni - got me even more excited! Eeee :D'
1.0,'RT @OneAndOnlyZel To all my new & old friends: I know I\'m behind on my THANKS 4 follows, retweets, FF\'s, etc. 4give the lapse. I do love ya!'
-1.0,'RT @BenCooper86 Mervyn King says he can\'t think of any reason why the UK would lose it\'s AAA rating - now will George Osborne shut up?'
1.0,'@ansaudi satria dong sa ! Si dika mah geleh ah hahahah http://myloc.me/3GiEB'
-1.0,'And obviously not forgetting the fact I\'m gonna feel 122356325x worse :| Oh well...'
1.0,'formspring.me - what would you like for valentine?s day? yummy truffles, stargazer lillies, a donation to... http://tumblr.com/xev6brjhk'
-1.0,'@YoungMac24 that\'s the only game you have?'
1.0,'Even When Shit Get Hard - Im Going To - Make Sure That Im Around To Hold You [ DOWN ] - I`ll Never Leave Ya Side Until Tha Day I Die .'
1.0,'http://i47.tinypic.com/2yo47qp.jpg A+, would lol again.'
-1.0,'why do Hong Kong people like to have their air cons on SUPERCOLD!?!?! man, i need some socks or something!!!!'
1.0,'RT @parismostwanted Check out @ParisMostWanted on IT\'S MY TIME and VOTE for us :) http://casting.benetton.com/users/8081-paris-most-wanted'
-1.0,'@sononchalant what happened to snow at 6 pm? http://myloc.me/3G5Mk'
1.0,'Thank you @god for rewarding me for my crazy day. The guy at Subway gave me a free cookie, but this is muuuuch better!'
1.0,'10 absolutely jaw dropping concept car designs http://ow.ly/15OnX'
-1.0,'i can feel that theres a growing pimple on my nose :('
1.0,'Great sunny days with @tetongravity in the beauty mountains of BC...crew was sending!'
-1.0,'@itsBreezeBaby whats that ?? you no me im at work = ('
1.0,'Found some cool free twitter backgrounds @ http://www.onixbee.com check it out!! #backgrounds #twitter'
-1.0,'@XGlitr_ObsesdX for sme reason my eyes burn too idk'
1.0,'Sama2 sayang ? ? @NengMeryl: Great wednesday ? thanks to @padoeka @chiemuw @ImadhMadum et all to be the part of my superb day :)'
-1.0,'RT @tokyodymond_HLE: ii am leaveinq ; n imma delete my twitter ; n who wants my photoshop? <---ill take it :)'
1.0,'\"I pray also that the eyes of your heart may be enlightened in order that you may know the hope to which he has called you...\" Eph1:18'
-1.0,'RT @wandafay: avoid-an-audit-6-red-flags-you-should-Know http://icio.us/i420ea'
-1.0,'fuel-consumption data indicates weak growth http://bit.ly/bQL91T I First we had rail traffic data: Now we have this and with MSM spin, too'
-1.0,'Pressure mounting at Sunderland: Lorik Cana: Sunderland\'s winless run extended to 12 games following 1-1 ... http://bit.ly/dBAMHd telegraph'
1.0,'Makin\' birthday macaroons that I shall drizzle with caramel sauce. Oh yeah. I do shit up BIG.'
1.0,'@indu666 heh me too actually... tho kannur i still kinda alive cause a close uncle lives there.. had been thr last week for theyyam \\m/'
1.0,'Ground is covered in snow outside but spring is in full bloom in attica\'s kitchen we are pouring beautiful hyacinth soy candles for the shop'
-1.0,'@mrmoneyman i don\'t like bein stuck in the house i\'d rather go to class'
1.0,'@MizLadyLipz girl bye..yuh kno not...#bgc jux came on and tha >otha otha< iznt gonna miss that...do yuh watch it??'
-1.0,'I am so pissed! me and my boyfriend broke up today! i broke up with him for the recorde!'
-1.0,'@danicapatrick is CSI investigating brakes tampering, or a little nitro in the engine? Gd luck in Nationwide race #nascar'
-1.0,'UPDATE. :) Dead nanaman ako nito. (doh) Sorry Ate Mona. :\'( http://plurk.com/p/3q1mes'
-1.0,'@jamesw650 omfg I cannot believe you just tweeted that? Are you effn serious with me?!'
-1.0,'Ninjas got mills$ I just want a couple too... So bad bout to cry? me a 50? juice?... @Chip216'
-1.0,'@judybopp LOL ohh i think i lost someone today realized it wasnt meant to be and hurts'
1.0,'RT @nrodovsky: RT @kimjack61: @lightxxx There are people on here just waiting to help..never underestimate twitter warriors 4 Haiti!'
-1.0,'you guys are so stupid, seriously. fighting over people you will NEVER get. HAHA.'
-1.0,'i don\'t understand. i really don\'t. this course feels wrong, hospital radio isn\'t right, and i\'m not happy.'
-1.0,'ArcelorMittal posts $1.68 billon loss for 2009 http://nxy.in/kemfi'
-1.0,'RT @HeavyHand Where is the, where is the, where is the TOILET TISSUE???? FUCK!!!!!!<~~~it\'s OK, you\'ve been blessed with 2 hands..pick 1'
-1.0,'@craigjettech but I really not like the spring in Macau, it\'s too wet!!'
1.0,'fresh out the shower ; currently watchinq the Steve Wilkos Show.'
-1.0,'@CNN Darkeness in the shadows of DC. Bethesda, MD has no power for 4 days..snow, 30 inches, unploughed.. is this the new America? RT'
1.0,'I just entered to win a Skooba Design Messenger Bag! Follow @anyluckyday (daily contests) and comment to win http://bit.ly/cizppc'
1.0,'Hot Deal! Me to You Love You ?4 off from H Samuel http://tinyurl.com/yzl4s89'
1.0,'@molesworth_1 bit of both with a meeting thrown in for good measure. What time you off down the track?'
1.0,'thanks snowmageddon for getting me out of tomorrow\'s test! you\'re the best (until shoveling time comes, that is.)'
1.0,'RT @rmccue: My school has an SQL injection bug in their site. Gotta love being a better programmer than the professionals.'
1.0,'i love usher 2! RT @bianca4life: i love Usher like @Jazzylamby love Bow Weezy! so damn serious i\'ve been playin his ish ova and ova all day!'
-1.0,'@mckeay First aid isn\'t possible - you need a fresh start - reanimating a corpse is not first aid.'
-1.0,'I hate Lloyds Bank. They want me to phone them up everytime I want to do something. I fact I hate banks in general.'
-1.0,'RT @RevRunWisdom: Dbl check who ur hangin with:: Many ppl think they\'re wise,, because they\'re hanging with idiots (who u wit?)'
-1.0,'RT @Idothat2: \"Are You OK?\" I\'M CRYING MY EYES OUT DO I LOOK F-ING OK!?! #idothat2'
1.0,'Pretty dope funk thing by my boy @arch_typ => Hands to Hats: http://lnk.ms/5tzdM'
1.0,'Your relationships are likely to be more satisfying now as lov... More for Pisces http://twittascope.com/twittascope/?sign=12'
1.0,'RT @AbonThoughts: Fist pumping my small Asian ass off at Bogies with Pauly D! The ladies call me The Predicament. Holla at cha boy Snooki!!!'
-1.0,'Breaking news : British fashion designer McQueen found dead at 40 (AP): AP - His runway shows were often like perf... http://bit.ly/bWSSop'
1.0,'@lingchung She picks such great songs to cover too. Her Death Cab cover has me melting right now. I need to learn to play the guitar.'
1.0,'@XmeganXOXO Yes, met them all at Gridlock and for 3 days at NAMM. All of them are very nice and love their fans. The acoustic set- amazing!'
1.0,'RT @Do_Over: RT @blacknbling @do_over the \"Do Lover\" on Valentines Day?!! Can I get a HELL YEAH, people!!!?!!! #pumped'
1.0,'Bouta leave tysons and head to my herndon salon and get my nails toes wax did hayyyyyyyy =)'
-1.0,'the snow keeps falling here. I will have to shovel again soon .. http://tweetphoto.com/11026757'
-1.0,'@feltique Its a very sad loss especially to the fashion industry'
-1.0,'@thatgirlizfancy http://tinychat.com/ayobitch fuck yo room drizzy..errybody thats in there come joint us = ]'
-1.0,'Thanks for nothing Mr. President: To the Editor:'
1.0,'Video: luckyshirt: I?m a huge fan of movie scores. Big, dramatic, heart wrenching soundtracks. Thanks for... http://tumblr.com/xvf6c6763'
-1.0,'off to a wack place i call school.'
-1.0,'#WhatsWorseThan dog shit on yo shoe and u track it in yo house'
-1.0,'RIP Alexander McQueen. I can\'t believe this. :('
-1.0,'The \'Miss Me Yet?\' billboard. My answer would be absolutely not. http://ow.ly/16oVf'
-1.0,'If he ever sees that I blipped it; He\'ll know! But, it applies to me too! ? http://blip.fm/~krhnh'
1.0,'Porsche 911 GT3 RS Hybrid http://bit.ly/ctJypB (via @joshuabaer) // me likey. but, they need to pick up the pace on production cars.'
-1.0,'@BossCampbell Just drink a bottle of bleach and stop bothering people.'
-1.0,'RT @MONALISALUV #petpeeve the belief that material possessions make you better than the next person.'
-1.0,'RT @footymad: Man. Utd.: Giggs elbow concern for United http://bit.ly/aiv9h1'
1.0,'Watch Samson & Delihja (stop motion i made today!) on Vimeo! http://vimeo.com/9374223'
-1.0,'like how you guys think that my thesis topic is boring. i mean, i already know it is. no need to keep telling me repeatedly.'
1.0,'Lmaoooo, anyways, G\'morning my tweets; hope your day will be as wonderful as mine!'
1.0,'The Story of my Life:) http://ow.ly/i/tJs #MNIG'
-1.0,'Apple : Tech Today: Google Jolts Telecom Rivals; Apple Is in TV-Pric - http://www.askbiography.com/bio/Apple.html'
-1.0,'Desperate bid to catch flight lands father and son in custody: A desperate bid to catch a? http://goo.gl/fb/JlGe'
-1.0,'RT @MoneAlicia: @IAMSEANO Jealous....I need to be having breakfast with u. << All gone :)'
1.0,'@Theo_Chipmunk *nods and finishs them the pulls out a cookie* mmm'
-1.0,'@CoolKid__Sam Yeeea...scuzzin bluzzin im in the cribberzzz, my fault for not seein yur tweet, dylan online rite now.'
-1.0,'@solarfund That\'s so sad! RIP Walt Ratterman.....my heartfelt sympathy to his family, friends and colleagues.'
-1.0,'@MissKahla i was playing with you :( so where do you want to go'
-1.0,'bad weather on holiday X( X( have nothing but to sleep in a warm room with a comfortable bad..'
-1.0,'thinkin i should wash my hair before i get it done tomorrow... decisions decisions... hmmm'
1.0,'starting to really love When I Look At You by Miley. It\'s a really sweet song.'
-1.0,'@LizzyNY Hi Lizzy. I know you guys really got a lot of snow. They closed our New York office yesterday at 11:30'
1.0,'i currently have a gay man with an english accent fixing my washing machine. this is awesome.'
-1.0,'Charlie Wilson, US politician who secretly funded CIA in Afghanistan, dies http://tumblr.com/xpq6cev4y'
-1.0,'All of a sudden I feel incredibly lonely...I blame the cold weather and hormones...and V-day...damnit, where are my pills?'
-1.0,'RT @colingilchrist: Alexander McQueen, the rumours are true. Poor boy RIP.'
-1.0,':| I can\'t wait to move out, just so I can decorate and have a decent looking, tidy, clean house/flat, instead of this shithole.'
-1.0,'RT @Tiana2Hot: #petpeeve ppl being over-affectionate in front of me..its not me hating it just makes me sick!..Ex:\"no I luv u snookie bear..ooh yes I do\"'
1.0,'Tomorrow my husband is coming to visit. And enjoy our 2 year anniversary.'
1.0,'RT @MyTrainerBob: I\'m trying to get people to try a yoga workout for those of you that have never it. It\'s a great stress reliever and awesome workout..xo'
-1.0,'Hmm...I need to ask Joe who his groomsmen and best man are. And we need to decide on a date. And our honeymoon. Meh.'
-1.0,'@pocketkip Hahahaha! If you wanted to be extra bitchy, you could\'ve streamed it via UStream!'
1.0,'@CassieGallant hello im jennas bet friend she told me to add you because ur rly cool'
1.0,'Directory Of Ezines.: Earn $90 Per Sale! Ezine Advertising Is Hot And Proven Effective! Now In Our 10th Year, Char... http://bit.ly/c959Zr'
-1.0,'Bill: Dorian Gray (por Fucker Berrouz) http://bit.ly/cq7i63'
1.0,'I got dat fastRT @GwopBoyStich RT ?Noly opelep atht anc ucfk ylrael gdoo cna erad wtah thsi gesmeas syas(only forward if u figure it out)!'
-1.0,'Tbh I\'m rarther pissed off, just wana get out my house!!'
1.0,'http://bit.ly/dD1SWw It\'s me! 300 years ago.. (at 0.47 and 1.40 min. shocking blue amazing hotpants! ;-P)'
-1.0,'@Bolanile I just lost my voice watching this game.'
1.0,'Kudos and Kindness: Officer saves dog from coyotes http://bit.ly/apNf50'
1.0,'This weekend: see the end of the world, rock out or swoon Back Talk East Dallas http://bit.ly/cfDDAP via http://outside.in/75223'
1.0,'Am listening to this romantic song by Asher Book called Try and smile to my self about how much I\'m hoping to have a date in Valentine\'s Day'
1.0,'@peterstmartin I am sure I will find that too..... Good to see you Peter'
1.0,'There is something about the sound of snow that enthralls me..like a feather hitting the ground...silence that encompasses...Yet..thunderous'
-1.0,'I don\'t know what it is'
-1.0,'@bugiaking - That\'s Because I can BEAT YOU .. MORE THAN SHAWN MICHAELS CAN ..'
1.0,'@epistolary LOL. haha, that\'s hilarious. skyping with you sounds like it\'s bound to be amusing. XD'
-1.0,'#whatsworsethan walkin in late to class and havin to sit in the front when u the only negro in there'
1.0,'so @JJVARANDAS says to me, no one here said \"u should see my vagina!\" but we were thinking it!!! I love me some Titi...'
-1.0,'I wanna snap ya neck and spit on you, u say who ARRE you WHO ARE YOOUU!!!'
-1.0,'#petpeeve when someone you \'befriended\' on the internet acts like they know you forreal. I never understood that whole thing.'
1.0,'?The four most important words in any marriage...\"I\'ll do the dishes.\" Instead just come to The Crown & Goose where we do the dishes!'
1.0,'@justinbieber come to Brazil, will meet his Brazilian haha I can be! *-* i love u ?'
-1.0,'Bill Clinton Undergoes Heart Procedure: An adviser to Bill Clinton says the former president has had two'
1.0,'@tova_s Oh yeah, I pass that sign quite frequently. Astonishingly, nothing has ever happened to me. Go figger. http://twitpic.com/12l2pq -'
-1.0,'@BorrisInABox You can change the startup sound? How? I didn\'t think it was possible?'
-1.0,'@killer_360 i guess its cause you like Ross and Jeezy and hardcore shit thats why,but feedback is feedback.'
-1.0,'To the idiot outside, we didn\'t make the snowman right outside our window for no reason. Thanks for killing my first snowman jackass! :('
-1.0,'So john mayer said the \"n word\". I said crack/honkie 46 times today. Is my penis racist I think not. I like wh girls to. @MARLONLWAYANS'
-1.0,'Bait is too 08 kita! Somethin new please! #noshade RT @MissKitaKatt: He the bait but his phone is shot the hell up!'
1.0,'Find art retreats, painting, photography and other creative courses throughout Europe. Go to krazart! http://bit.ly/bjYrcy'
1.0,'I used to sit around & draw pictures of dicks ! Dicks ? Like a man dick ?! Lmfaooo ! Superbad is my shxt ! Haha'
-1.0,'.find() with simple :join: Hello all, I about to pull my hair out. I have two models \"Activities\" and \"Activity_... http://bit.ly/aUTmVI'
1.0,'RT @generalfonseka: Protect the rights of people to protest http://news.bbc.co.uk/2/hi/south_asia/8508494.stm'
1.0,'Yo mama was like....\"I like that dude Koncept, he makes classics\"...... myspace.com/konsept101'
-1.0,'It looks like you bought that car from Dollar General!'
1.0,'@amandapalmer thats brilliant !!! is an adelaide ninja show on the go?'
-1.0,'Must go and scrape the ice off the windscreen'
-1.0,'beganhobbling toward'
1.0,'@heidiswift Nice! Enjoy your travels. Maybe we\'ll meet up when you\'re back and have some shop-talk.'
-1.0,'RT @lr3031: @LizBlaine My latest-> Barack Obama: You Have ?No Reasonable Expectation Of Privacy? http://bit.ly/c29txn PLS RT #tcot #sgp #usa'
1.0,'@skydiver Wow! Not that we need the extra dose of energy this year but you\'ll just add to the wildness factor! Have the BEST time!'
-1.0,'did a show last night and tonight. have shows on sunday, monday, tuesday, and wednesday. I\'m a busy lil comic'
1.0,'? For The One I Love - The G.... http://tinyurl.com/yk322o5'
1.0,'Our biggest fan who has his own Sunday network show! RT @dcsportsbog: David Gregory just sent me an e-mail about the Capitals. FYI.'
-1.0,'what the heck is this thing stuck in my throat....'
1.0,'Take someone to prom that you KNOW you would have fun with.'
-1.0,'@xchrissielynn lmfao gosh i feel sorry for you =p you HAVE to put up with my drunken tweets on Tuesday ;)'
-1.0,'Don\'t Ask Me a Question, If You\'re Not Going to Believe My Answer. http://formspring.me/KAPZTHATITAN'
-1.0,'Watching the first snow fall for us and wanting to be a together as a family enjoying it.... cancer SUCKS'
-1.0,'RT @RevRunWisdom: Never allow a person tell you NO who doesnt have the power to say YES'
1.0,'@pushaman2010 jo jo!!!!! I\'m coming down atl next sat. I wanna see you'
-1.0,'@Baby_Rinna I miss u!'
-1.0,'@AmIzzy she\'s carrying them around with her, so bound to lose some.has 2 at a time lately!'
-1.0,'@Celebforever I didn\'t throw it around it was your family member who I feel tried to dis respect me by putn me down to lift u up unessecary'
-1.0,'Tanj writes: My interest in Java waned when I could do server-side JavaScript with a call out to C++ when I... http://twisca.com/?BZ.fB'
1.0,'Had a nice sleep...now i gotta sort out how i\'m gonna get out of this bed...gotta get ready for the club'
1.0,'I\'m awake since 5:30 :) I\'m improvin,RT @pigarmahdar: @joeclemenzy Hey! Ure awake...and its 7:37..are u on drugs? TUMBEN BANGET!!! XD'
-1.0,'Having a bad day? (Story 2) - A man was working on his motorcycle on his patio and his wife was in the... http://tumblr.com/xeg6dfsho'
1.0,'is finished with my taiwan assignment. Now: vacation'
1.0,'Snowin!! I love it!! And I love my life'
-1.0,'just had the nastiest fall. #wth i feel like i might have broken a bone.'
